TimeStamp,RAW
2021-03-05T14:00:29.2310000Z,T|5336||120.25|4||1614952829.231|||||||||
2021-03-05T14:00:46.4864000Z,T|5369||120.3|10||1614952846.4864|||||||||
2021-03-05T14:00:46.4864000Z,T|5371||120.3|7||1614952846.4864|||||||||
2021-03-05T14:00:46.4864000Z,T|5372||120.3|300||1614952846.4864|||||||||
2021-03-05T14:00:46.4864000Z,T|5374||120.3|63||1614952846.4864|||||||||
2021-03-05T14:00:46.4864000Z,T|5376||120.3|10||1614952846.4864|||||||||
2021-03-05T14:00:46.4864000Z,T|5377||120.3|100||1614952846.4864|||||||||
2021-03-05T14:00:59.1196000Z,T|5388||120.28|10||1614952859.1196|||||||||
2021-03-05T14:01:02.3715000Z,T|5408||120.32|150||1614952862.3715|||||||||
2021-03-05T14:01:26.0917000Z,T|5443||120.5|5||1614952886.0917|||||||||
2021-03-05T14:01:30.7021000Z,T|5449||120.47|8||1614952890.7021|||||||||
2021-03-05T14:01:46.6724000Z,T|5458||120.49|400||1614952906.6724|||||||||
2021-03-05T14:01:46.6724000Z,T|5459||120.49|100||1614952906.6724|||||||||
2021-03-05T14:02:03.6542000Z,T|5486||120.45|6||1614952923.6542|||||||||
2021-03-05T14:02:03.6758000Z,T|5489||120.5|131||1614952923.6758|||||||||
2021-03-05T14:02:03.6758000Z,T|5491||120.5|1||1614952923.6758|||||||||
2021-03-05T14:02:09.2230000Z,T|5529||120.54|1||1614952929.223|||||||||
2021-03-05T14:02:21.3121000Z,T|5552||120.64|1||1614952941.3121|||||||||
2021-03-05T14:02:24.8967000Z,T|5560||120.65|100||1614952944.8967|||||||||
2021-03-05T14:02:29.2678000Z,T|5570||120.6|3||1614952949.2678|||||||||
2021-03-05T14:02:31.5897000Z,T|5573||120.63|8||1614952951.5897|||||||||
2021-03-05T14:02:31.6495000Z,T|5574||120.63|1||1614952951.6495|||||||||
2021-03-05T14:02:42.2611000Z,T|5583||120.7|1||1614952962.2611|||||||||
2021-03-05T14:02:48.9707000Z,T|5596||120.71|2||1614952968.9707|||||||||
2021-03-05T14:02:49.1070000Z,T|5597||120.71|1||1614952969.107|||||||||
2021-03-05T14:02:52.4717000Z,T|5598||120.71|97||1614952972.4717|||||||||
2021-03-05T14:03:01.6397000Z,T|5606||120.7|99||1614952981.6397|||||||||
2021-03-05T14:03:19.1136000Z,T|5626||120.76|1||1614952999.1136|||||||||
2021-03-05T14:03:46.9266000Z,T|5675||120.8|10||1614953026.9266|||||||||
2021-03-05T14:03:54.1461000Z,T|5688||120.75|2||1614953034.1461|||||||||
2021-03-05T14:03:58.3450000Z,T|5692||120.77|2||1614953038.345|||||||||
2021-03-05T14:04:00.7920000Z,T|5699||120.77|12||1614953040.792|||||||||
2021-03-05T14:04:03.6557000Z,T|5709||120.76|1||1614953043.6557|||||||||
2021-03-05T14:04:11.3984000Z,T|5718||120.75|2||1614953051.3984|||||||||
2021-03-05T14:04:32.3108000Z,T|5744||120.75|1||1614953072.3108|||||||||
2021-03-05T14:04:36.2806000Z,T|5749||120.71|100||1614953076.2806|||||||||
2021-03-05T14:04:48.1921000Z,T|5762||120.7|75||1614953088.1921|||||||||
2021-03-05T14:04:58.9530000Z,T|5780||120.66|1||1614953098.953|||||||||
2021-03-05T14:05:00.8495000Z,T|5784||120.65|2||1614953100.8495|||||||||
2021-03-05T14:05:03.9889000Z,T|5791||120.71|100||1614953103.9889|||||||||
2021-03-05T14:05:04.1995000Z,T|5793||120.71|10||1614953104.1995|||||||||
2021-03-05T14:05:04.9499000Z,T|5795||120.71|30||1614953104.9499|||||||||
2021-03-05T14:05:52.6581000Z,T|5859||120.75|59||1614953152.6581|||||||||
2021-03-05T14:06:28.0949000Z,T|5892||120.72|5||1614953188.0949|||||||||
2021-03-05T14:06:28.0949000Z,T|5903||120.7|1||1614953188.0949|||||||||
2021-03-05T14:06:33.8960000Z,T|5911||120.64|1||1614953193.896|||||||||
2021-03-05T14:06:33.8960000Z,T|5915||120.62|1||1614953193.896|||||||||
2021-03-05T14:06:33.8960000Z,T|5918||120.6|3||1614953193.896|||||||||
2021-03-05T14:07:22.7439000Z,T|5978||120.7|2||1614953242.7439|||||||||
2021-03-05T14:07:29.3511000Z,T|5991||120.67|1||1614953249.3511|||||||||
2021-03-05T14:07:30.3933000Z,T|5997||120.65|5||1614953250.3933|||||||||
2021-03-05T14:07:50.6379000Z,T|6016||120.6|3||1614953270.6379|||||||||
2021-03-05T14:07:50.6608000Z,T|6018||120.6|35||1614953270.6608|||||||||
2021-03-05T14:08:08.0267000Z,T|6033||120.65|1||1614953288.0267|||||||||
2021-03-05T14:08:16.0894000Z,T|6040||120.61|10||1614953296.0894|||||||||
2021-03-05T14:08:16.0894000Z,T|6042||120.6|10||1614953296.0894|||||||||
2021-03-05T14:08:38.7840000Z,T|6064||120.64|5||1614953318.784|||||||||
2021-03-05T14:08:38.8016000Z,T|6067||120.65|5||1614953318.8016|||||||||
2021-03-05T14:08:45.3038000Z,T|6079||120.6|5||1614953325.3038|||||||||
2021-03-05T14:08:57.2990000Z,T|6082||120.66|10||1614953337.299|||||||||
2021-03-05T14:09:40.5248000Z,T|6156||120.71|17||1614953380.5248|||||||||
2021-03-05T14:09:49.5955000Z,T|6169||120.77|7||1614953389.5955|||||||||
