X,Barchart,Benzinga,Dividend,DividendMax,Fidelity,MarketWatch,Nasdaq,Nyse,RendementBourse,Reuters,SeekingAlpha,TradingView,WallStreetJournal,Webull,Yahoo
Barchart,0,0.9996528982992017,0.9017672345167966,0.6153846153846154,0.9795198697951987,0.6998217970362033,0.9990972692394493,0.9438373018745024,0.6729987713826671,0.8172256097560976,0.8237176257180289,0.7921659715990076,0.6998217970362033,0.9925093632958801,0.932841012468561
Benzinga,0.9996528982992017,0,0.768025078369906,0.5,0.9024630541871921,0.8074133763094279,1,0.9882659713168188,0.7791084497671324,0.8986432561851556,0.9077043410246383,0.9967551622418879,0.8074133763094279,0.980836236933798,0.8918811881188119
Dividend,0.9017672345167966,0.768025078369906,0,0.6666666666666666,0.9245939675174014,0.8676923076923077,0.927133655394525,0.9265822784810127,0.798790658882402,0.7901005823186872,0.923848204086813,0.9214226633581473,0.8676923076923077,0.47368421052631576,0.9024390243902439
DividendMax,0.6153846153846154,0.5,0.6666666666666666,0,0.7,0.5833333333333334,0.6666666666666666,0.6153846153846154,0.5,0.25,0.5833333333333334,0.6153846153846154,0.5833333333333334,0,0.6153846153846154
Fidelity,0.9795198697951987,0.9024630541871921,0.9245939675174014,0.7,0,0.8112310761647694,0.9932614555256065,0.9974814422057264,0.8528274352426122,0.8275668073136427,0.9916369253715442,0.9994827076559267,0.8112310761647694,0.973404255319149,0.9023603577188095
MarketWatch,0.6998217970362033,0.8074133763094279,0.8676923076923077,0.5833333333333334,0.8112310761647694,0,0.9415856341826957,0.8672260466215618,0.7063145144301665,0.8579660655212891,0.8474364555141284,0.8573592527139611,1,0.880057803468208,0.7628838211528102
Nasdaq,0.9990972692394493,1,0.927133655394525,0.6666666666666666,0.9932614555256065,0.9415856341826957,0,0.9974337040205303,0.81185536455246,0.8579368971718162,0.9927924070505959,0.9940235203393099,0.9415856341826957,1,0.9705682589993208
Nyse,0.9438373018745024,0.9882659713168188,0.9265822784810127,0.6153846153846154,0.9974814422057264,0.8672260466215618,0.9974337040205303,0,0.8435648777919171,0.8325253924284395,0.9766230620155039,0.9981149546927707,0.8672260466215618,0.9754901960784313,0.9161598609904431
RendementBourse,0.6729987713826671,0.7791084497671324,0.798790658882402,0.5,0.8528274352426122,0.7063145144301665,0.81185536455246,0.8435648777919171,0,0.7733265720081136,0.8172484018781467,0.8215653706654011,0.7063145144301665,0.5775862068965517,0.8716625532869643
Reuters,0.8172256097560976,0.8986432561851556,0.7901005823186872,0.25,0.8275668073136427,0.8579660655212891,0.8579368971718162,0.8325253924284395,0.7733265720081136,0,0.8443613041154463,0.8359119943222143,0.8579660655212891,0.9583333333333334,0.7778577857785779
SeekingAlpha,0.8237176257180289,0.9077043410246383,0.923848204086813,0.5833333333333334,0.9916369253715442,0.8474364555141284,0.9927924070505959,0.9766230620155039,0.8172484018781467,0.8443613041154463,0,0.9948249695220561,0.8474364555141284,0.9895209580838323,0.9036883475857304
TradingView,0.7921659715990076,0.9967551622418879,0.9214226633581473,0.6153846153846154,0.9994827076559267,0.8573592527139611,0.9940235203393099,0.9981149546927707,0.8215653706654011,0.8359119943222143,0.9948249695220561,0,0.8573592527139611,0.9773413897280967,0.9359138533178114
WallStreetJournal,0.6998217970362033,0.8074133763094279,0.8676923076923077,0.5833333333333334,0.8112310761647694,1,0.9415856341826957,0.8672260466215618,0.7063145144301665,0.8579660655212891,0.8474364555141284,0.8573592527139611,0,0.880057803468208,0.7628838211528102
Webull,0.9925093632958801,0.980836236933798,0.47368421052631576,0,0.973404255319149,0.880057803468208,1,0.9754901960784313,0.5775862068965517,0.9583333333333334,0.9895209580838323,0.9773413897280967,0.880057803468208,0,0.8980392156862745
Yahoo,0.932841012468561,0.8918811881188119,0.9024390243902439,0.6153846153846154,0.9023603577188095,0.7628838211528102,0.9705682589993208,0.9161598609904431,0.8716625532869643,0.7778577857785779,0.9036883475857304,0.9359138533178114,0.7628838211528102,0.8980392156862745,0
