X,B11,C12,C48,C16,C20,B23,C28,C29,A32,C50,A36,C37,C42,C44,C45,B46
B11,0,0.9929453262786596,1,0.998,0.9950842696629213,1,0.9182076813655761,0.9951489951489951,0.995059985885674,0.994343891402715,0.9955947136563876,0.9969604863221885,0.9951287404314544,0.9951489951489951,0.998589562764457,0.9980506822612085
C12,0.9929453262786596,0,1,1,0.9941348973607038,1,0.9308823529411765,0.9941176470588236,0.995,0.9898734177215189,0.9903381642512077,0.9939024390243902,0.9933665008291874,0.9941176470588236,0.9947089947089947,0.9907621247113164
C48,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
C16,0.998,1,1,0,0.9984802431610942,1,0.9578783151326054,1,0.9980806142034548,0.9977477477477478,0.984,0.9983922829581994,1,1,0.9976359338061466,0.9976689976689976
C20,0.9950842696629213,0.9941348973607038,1,0.9984802431610942,0,1,0.8893785808726311,0.999657416923604,0.9949057564951604,0.9974473516273133,0.9951338199513382,0.9975247524752475,1,0.999657416923604,1,0.9878934624697336
B23,1,1,0,1,1,0,0.9431818181818182,0.99,1,1,0.9791666666666666,0.9885057471264368,0.9893617021276596,0.99,0.984375,1
C28,0.9182076813655761,0.9308823529411765,1,0.9578783151326054,0.8893785808726311,0.9431818181818182,0,0.8869715271786023,0.9118110236220472,0.9045189504373178,0.8530259365994236,0.914665304036791,0.8930753564154786,0.8869715271786023,0.9176755447941889,0.9014285714285715
C29,0.9951489951489951,0.9941176470588236,1,1,0.999657416923604,0.99,0.8869715271786023,0,0.9939969984992496,0.9987373737373737,0.9927884615384616,0.9975429975429976,1,1,1,0.98562874251497
A32,0.995059985885674,0.995,1,0.9980806142034548,0.9949057564951604,1,0.9118110236220472,0.9939969984992496,0,0.9933054393305439,0.9886363636363636,0.9955825510767532,0.9953512396694215,0.9939969984992496,1,0.9981167608286252
C50,0.994343891402715,0.9898734177215189,1,0.9977477477477478,0.9974473516273133,1,0.9045189504373178,0.9987373737373737,0.9933054393305439,0,0.9902439024390244,0.9966499162479062,0.9984894259818731,0.9987373737373737,1,1
A36,0.9955947136563876,0.9903381642512077,1,0.984,0.9951338199513382,0.9791666666666666,0.8530259365994236,0.9927884615384616,0.9886363636363636,0.9902439024390244,0,0.9862542955326461,0.9941176470588236,0.9927884615384616,0.990990990990991,0.9878048780487805
C37,0.9969604863221885,0.9939024390243902,1,0.9983922829581994,0.9975247524752475,0.9885057471264368,0.914665304036791,0.9975429975429976,0.9955825510767532,0.9966499162479062,0.9862542955326461,0,0.9977401129943503,0.9975429975429976,0.9976608187134502,0.9984301412872841
C42,0.9951287404314544,0.9933665008291874,1,1,1,0.9893617021276596,0.8930753564154786,1,0.9953512396694215,0.9984894259818731,0.9941176470588236,0.9977401129943503,0,1,1,0.9902597402597403
C44,0.9951489951489951,0.9941176470588236,1,1,0.999657416923604,0.99,0.8869715271786023,1,0.9939969984992496,0.9987373737373737,0.9927884615384616,0.9975429975429976,1,0,1,0.98562874251497
C45,0.998589562764457,0.9947089947089947,1,0.9976359338061466,1,0.984375,0.9176755447941889,1,1,1,0.990990990990991,0.9976608187134502,1,1,0,1
B46,0.9980506822612085,0.9907621247113164,1,0.9976689976689976,0.9878934624697336,1,0.9014285714285715,0.98562874251497,0.9981167608286252,1,0.9878048780487805,0.9984301412872841,0.9902597402597403,0.98562874251497,1,0
